iata_code,ident,gps_code,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,type
TIP,HLLT,HLLT,Tripoli International Airport,32.6635017395,13.1590003967,263,AF,LY,LY-TB,Tripoli,large_airport
TIQ,PGWT,PGWT,Tinian International Airport,14.999199867248535,145.61900329589844,271,OC,MP,MP-U-A,Tinian Island,medium_airport
TIR,VOTP,VOTP,Tirupati Airport,13.632499694800002,79.543296814,350,AS,IN,IN-AP,Tirupati,small_airport
TIU,NZTU,NZTU,Timaru Airport,-44.302799224853516,171.22500610351562,89,OC,NZ,NZ-CAN,,medium_airport
TIV,LYTV,LYTV,Tivat Airport,42.404701232910156,18.72330093383789,20,EU,ME,ME-19,Tivat,medium_airport
TIW,KTIW,KTIW,Tacoma Narrows Airport,47.26789856,-122.5780029,294,NA,US,US-WA,Tacoma,medium_airport
TIX,KTIX,KTIX,Space Coast Regional Airport,28.514799118042,-80.799201965332,34,NA,US,US-FL,Titusville,medium_airport
TIY,GQND,GQND,Tidjikja Airport,18.570101,-11.4235,1342,AF,MR,MR-09,Tidjikja,small_airport
TIZ,AYTA,AYTA,Tari Airport,-5.84499979019,142.947998047,5500,OC,PG,PG-HE,Tari,small_airport
TJA,SLTJ,SLTJ,Capitan Oriel Lea Plaza Airport,-21.5557003021,-64.7013015747,6079,SA,BO,BO-T,Tarija,medium_airport
TJB,WIBT,WIBT,Sei Bati Airport,1.0527,103.3931,33,AS,ID,ID-RI,Tanjung Balai-Karinmunbesar Island,small_airport
TJC,TJC,,Ticantiki Airport,9.4185,-78.4896,17,NA,PA,PA-KY,Ticantiqui,small_airport
TJG,WAON,WAON,Warukin Airport,-2.21655988693,115.435997009,197,AS,ID,ID-KS,Tanta-Tabalong-Borneo Island,medium_airport
TJH,RJBT,RJBT,Konotori Tajima Airport,35.512798,134.787003,584,AS,JP,JP-28,Toyooka,medium_airport
TJI,MHTJ,MHTJ,Trujillo Airport,15.9268,-85.938202,3,NA,HN,HN-CL,Trujillo,medium_airport
TJK,LTAW,LTAW,Tokat Airport,40.307430267333984,36.367408752441406,1831,AS,TR,TR-60,Tokat,medium_airport
TJL,SSTL,SBTG,Plinio Alarcom Airport,-20.754199981689,-51.684200286865,1050,SA,BR,BR-MS,Três Lagoas,small_airport
TJM,USTR,USTR,Roshchino International Airport,57.189601898199996,65.3243026733,378,AS,RU,RU-TYU,Tyumen,medium_airport
TJN,NTKM,NTKM,Takume Airport,-15.854700088500001,-142.268005371,7,OC,PF,PF-U-A,Takume,small_airport
TJQ,WIOD,WIKT,H.AS. Hanandjoeddin International Airport,-2.74572,107.754997,164,AS,ID,ID-BB,Tanjung Pandan-Belitung Island,small_airport
TJS,WALG,WALG,Tanjung Harapan Airport,2.83583333333,117.373611111,10,AS,ID,ID-KU,Tanjung Selor-Borneo Island,small_airport
TJU,UTDK,UTDK,Kulob Airport,37.98809814453125,69.80500030517578,2293,AS,TJ,TJ-KT,Kulyab,medium_airport
TJV,VOTJ,VOTJ,Tanjore Air Force Base,10.722399711608887,79.10160064697266,253,AS,IN,IN-TN,Thanjavur,small_airport
TKA,PATK,PATK,Talkeetna Airport,62.320499420166,-150.09399414062,358,NA,US,US-AK,Talkeetna,medium_airport
TKB,AYTZ,AYTZ,Tekadu Airport,-7.6808,146.5503,1310,OC,PG,PG-MPL,Tekadu,small_airport
TKC,FKKC,FKKC,Tiko Airport,4.08919000626,9.360529899600001,151,AF,CM,CM-SW,Tiko,medium_airport
TKD,DGTK,DGTK,Takoradi Airport,4.896059989929199,-1.7747600078582764,21,AF,GH,GH-WP,Sekondi-Takoradi,medium_airport
TKF,KTRK,KTRK,Truckee Tahoe Airport,39.319999694799996,-120.13999939,5900,NA,US,US-CA,Truckee,medium_airport
TKG,WILL,WILL,Radin Inten II (Branti) Airport,-5.240556,105.175556,282,AS,ID,ID-LA,Bandar Lampung-Sumatra Island,medium_airport
TKH,VTPI,VTPI,Takhli Airport,15.277299881,100.29599762,107,AS,TH,TH-60,,medium_airport
TKJ,PFTO,PFTO,Tok Junction Airport,63.32949829,-142.9539948,1639,NA,US,US-AK,Tok,small_airport
TKK,PTKK,PTKK,Chuuk International Airport,7.461870193481445,151.84300231933594,11,OC,FM,FM-TRK,Weno Island,medium_airport
TKM,GT-0006,,El Peten Airport,17.226388931274414,-89.6050033569336,774,NA,GT,GT-PE,Tikal,small_airport
TKN,RJKN,RJKN,Tokunoshima Airport,27.83639907836914,128.88099670410156,17,AS,JP,JP-46,Tokunoshima,medium_airport
TKO,FXTK,FXTK,Tlokoeng Airport,-29.232999801635742,28.882999420166016,7000,AF,LS,LS-J,Tlokoeng,small_airport
TKP,NTGT,NTGT,Takapoto Airport,-14.709500312805176,-145.24600219726562,12,OC,PF,PF-U-A,,medium_airport
TKQ,HTKA,HTKA,Kigoma Airport,-4.8862,29.6709,2700,AF,TZ,TZ-08,Kigoma,small_airport
TKR,VGSG,VGSG,Thakurgaon Airport,26.016399383544922,88.40360260009766,176,AS,BD,BD-5,Thakurgaon,small_airport
TKS,RJOS,RJOS,Tokushima Airport/JMSDF Air Base,34.132801,134.606995,26,AS,JP,JP-36,Tokushima,medium_airport
TKT,VTPT,VTPT,Tak Airport,16.895999908447266,99.25330352783203,478,AS,TH,TH-63,,medium_airport
TKU,EFTU,EFTU,Turku Airport,60.514099121094,22.262800216675,161,EU,FI,FI-LS,Turku,medium_airport
TKV,NTGO,NTGO,Tatakoto Airport,-17.355300903320312,-138.44500732421875,12,OC,PF,PF-U-A,Tatakoto,small_airport
TKW,AYTN,AYTN,Tekin Airport,-5.24366666667,142.165194444,5785,OC,PG,PG-SAN,Tekin,small_airport
TKX,NTKR,NTKR,Takaroa Airport,-14.45580005645752,-145.02499389648438,13,OC,PF,PF-U-A,,medium_airport
TKY,YTKY,YTKY,Turkey Creek Airport,-17.0408000946,128.205993652,,OC,AU,AU-WA,Turkey Creek,small_airport
TKZ,NZTO,NZTO,Tokoroa Airfield,-38.236698150634766,175.89199829101562,1220,OC,NZ,NZ-WKO,Tokoroa,small_airport
TLA,PATE,PATE,Teller Airport,65.2404022217,-166.339004517,294,NA,US,US-AK,Teller,small_airport
TLB,OPTA,OPTA,Tarbela Dam Airport,33.9860992432,72.61139678960001,1114,AS,PK,PK-NW,Tarbela,small_airport
TLC,MMTO,MMTO,Licenciado Adolfo Lopez Mateos International Airport,19.3370990753,-99.56600189210002,8466,NA,MX,MX-MEX,Toluca,medium_airport
TLD,FBTL,FBLV,Limpopo Valley Airport,-22.189199447599997,29.126899719199997,1772,AF,BW,BW-CE,Tuli Lodge,small_airport
TLE,FMST,FMST,Toliara Airport,-23.383399963378906,43.72850036621094,29,AF,MG,MG-U,,medium_airport
TLF,2K5,2K5,Telida Airport,63.393901824951,-153.26899719238,650,NA,US,US-AK,Telida,small_airport
TLH,KTLH,KTLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,NA,US,US-FL,Tallahassee,large_airport
TLI,WAMI,WAMI,Sultan Bantilan Airport,1.123428,120.793658,40,AS,ID,ID-ST,Toli Toli-Celebes Island,small_airport
TLJ,PATL,PATL,Tatalina LRRS Airport,62.894401550299996,-155.977005005,964,NA,US,US-AK,Takotna,medium_airport
TLK,UECT,UECT,Talakan Airport,59.876389,111.044444,1329,EU,RU,RU-SA,Talakan Oil Field,small_airport
TLL,EETN,EETN,Lennart Meri Tallinn Airport,59.41329956049999,24.832799911499997,131,EU,EE,EE-37,Tallinn,large_airport
TLM,DAON,DAON,Zenata   Messali El Hadj Airport,35.0167007446,-1.45000004768,814,AF,DZ,DZ-13,Tlemcen,medium_airport
TLN,LFTH,LFTH,Toulon-Hyères Airport,43.0973014832,6.14602994919,7,EU,FR,FR-PAC,Toulon/Hyères/Le Palyvestre,medium_airport
TLO,PG-TLO,AYXO,Tol Airport,-4.98083019257,152.009994507,49,OC,PG,PG-EBR,Tol,small_airport
TLP,TLP,AYQL,Tumolbil Airport,-4.7748,141.0133,3590,OC,PG,PG-SAN,Tumolbil,small_airport
TLQ,ZWTP,ZWTP,Turpan Jiaohe Airport,43.0308,89.0987,934,AS,CN,CN-65,Turpan,medium_airport
TLR,KTLR,KTLR,Mefford Field,36.15629959,-119.3259964,265,NA,US,US-CA,Tulare,small_airport
TLS,LFBO,LFBO,Toulouse-Blagnac Airport,43.629101,1.36382,499,EU,FR,FR-OCC,Toulouse/Blagnac,large_airport
TLT,TLT,TLT,Tuluksak Airport,61.096801757799994,-160.968994141,30,NA,US,US-AK,Tuluksak,small_airport
TLU,SKTL,SKTL,Golfo de Morrosquillo Airport,9.50945,-75.5854,16,SA,CO,CO-SUC,TolÃº,small_airport
TLV,LLBG,LLBG,Ben Gurion International Airport,32.01139831542969,34.88669967651367,135,AS,IL,IL-M,Tel Aviv,large_airport
TLW,AYVL,AYVL,Talasea Airport,-5.2726,150.0089,44,OC,PG,PG-WBK,Talasea,small_airport
TLX,SCTL,SCTL,Panguilemo Airport,-35.37779998779297,-71.60169982910156,371,SA,CL,CL-ML,Talca,medium_airport
TLY,UHWP,UHWP,Plastun Airport,44.814998626709,136.29200744629,66,AS,RU,RU-PRI,Plastun,small_airport
TLZ,SWKT,SWKT,Catalão Airport,-18.216800689697266,-47.89970016479492,2612,SA,BR,BR-GO,Catalão,small_airport
TMA,KTMA,KTMA,Henry Tift Myers Airport,31.4290008545,-83.4885025024,355,NA,US,US-GA,Tifton,small_airport
TMB,KTMB,KTMB,Miami Executive Airport,25.6479,-80.4328,8,NA,US,US-FL,Miami,medium_airport
TMC,WADT,WATK,Tambolaka Airport,-9.40972,119.244003,161,AS,ID,ID-NT,Waikabubak-Sumba Island,small_airport
TMD,GQNH,GQNH,Timbedra Airport,16.232999801635742,-8.166999816894531,692,AF,MR,MR-01,Timbedra,small_airport
TME,SKTM,SKTM,Gustavo Vargas Airport,6.45108,-71.7603,1050,SA,CO,CO-ARA,Tame,medium_airport
TMF,VRNT,VRNT,Thimarafushi Airport,2.211,73.1533,6,AS,MV,MV-08,Thimarafushi,small_airport
TMG,WBKM,WBKM,Tomanggong Airport,5.40257,118.65763,26,AS,MY,MY-12,Tomanggong,small_airport
TMH,WAKT,WAKT,Tanah Merah Airport,-6.099219799041748,140.29800415039062,57,AS,ID,ID-PA,Tanah Merah-Papua Island,small_airport
TMI,VNTR,VNTR,Tumling Tar Airport,27.315001,87.193298,1700,AS,NP,NP-KO,Tumling Tar,small_airport
TMJ,UTST,UTST,Termez Airport,37.28670120239258,67.30999755859375,1027,AS,UZ,UZ-SU,Termez,medium_airport
TML,DGLE,DGLE,Tamale Airport,9.55718994140625,-0.8632140159606934,553,AF,GH,GH-NP,Tamale,medium_airport
TMM,FMMT,FMMT,Toamasina Airport,-18.109500885009766,49.39250183105469,22,AF,MG,MG-A,,medium_airport
TMN,NGTM,NGTM,Tamana Island Airport,-2.485830068588257,175.97000122070312,,OC,KI,KI-G,Tamana Island,small_airport
TMO,SVTM,SVTM,Tumeremo Airport,7.24938,-61.52893,345,SA,VE,VE-F,,medium_airport
TMP,EFTP,EFTP,Tampere-Pirkkala Airport,61.414100646973,23.604400634766,390,EU,FI,FI-LS,Tampere / Pirkkala,medium_airport
TMQ,DFEM,DFEM,Tambao Airport,14.800000190734863,0.05000000074505806,820,AF,BF,BF-OUD,Tambao,small_airport
TMR,DAAT,DAAT,Aguenar   Hadj Bey Akhamok Airport,22.8115005493,5.45107984543,4518,AF,DZ,DZ-11,Tamanrasset,medium_airport
TMS,FPST,FPST,São Tome International Airport,0.3781749904155731,6.7121500968933105,33,AF,ST,ST-S,São Tome,medium_airport
TMT,SBTB,SBTB,Trombetas Airport,-1.489599943161,-56.396800994873,287,SA,BR,BR-PA,Oriximina,medium_airport
TMU,MRTR,MRTR,Tambor Airport,9.73852,-85.013802,33,NA,CR,CR-P,Nicoya,small_airport
TMW,YSTW,YSTW,Tamworth Airport,-31.0839004517,150.847000122,1334,OC,AU,AU-NSW,Tamworth,medium_airport
TMX,DAUT,DAUT,Timimoun Airport,29.2371006012,0.276033014059,1027,AF,DZ,DZ-01,Timimoun,medium_airport
TMY,ID-TMY,,Tiom Airport,-3.9256,138.4555,6931,AS,ID,ID-PA,Tiom-Papua Island,small_airport
TMZ,NZTH,NZTH,Thames Aerodrome,-37.156700134277344,175.5500030517578,10,OC,NZ,NZ-WKO,,small_airport
TNA,ZSJN,ZSJN,Yaoqiang Airport,36.857200622558594,117.21600341796875,76,AS,CN,CN-37,Jinan,large_airport
TNB,WRLH,WRLH,Tanah Grogot Airport,-1.91013002396,116.202003479,17,AS,ID,ID-KI,Tanah Grogot-Borneo Island,small_airport
TNC,PATC,PATC,Tin City Long Range Radar Station Airport,65.56310272,-167.9219971,271,NA,US,US-AK,Tin City,small_airport
TND,MUTD,MUTD,Alberto Delgado Airport,21.788299560546875,-79.99720001220703,125,NA,CU,CU-07,Trinidad,medium_airport
TNE,RJFG,RJFG,New Tanegashima Airport,30.605100631699997,130.990997314,768,AS,JP,JP-46,Tanegashima,medium_airport
TNF,LFPN,LFPN,Toussus-le-Noble Airport,48.75189971923828,2.1061899662017822,538,EU,FR,FR-IDF,Toussus-le-Noble,medium_airport
TNG,GMTT,GMTT,Ibn Batouta Airport,35.726898193400004,-5.91689014435,62,AF,MA,MA-TNG,Tangier,medium_airport
TNH,ZYTN,ZYTN,Tonghua Sanyuanpu Airport,42.2538888889,125.703333333,1200,AS,CN,CN-22,Tonghua,medium_airport
TNI,VIST,VIST,Satna Airport,24.5623,80.854897,1060,AS,IN,IN-MP,,small_airport
TNJ,WIDN,WIDN,Raja Haji Fisabilillah International Airport,0.922683000565,104.531997681,52,AS,ID,ID-RI,Tanjung Pinang-Bintan Island,small_airport
TNK,4KA,4KA,Tununak Airport,60.575500488281,-165.27200317383,14,NA,US,US-AK,Tununak,small_airport
TNM,SCRM,SCRM,Teniente Rodolfo Marsh Martin Base,-62.1907997131,-58.9866981506,147,AN,AQ,AQ-U-A,Isla Rey Jorge,small_airport
TNN,RCNN,RCNN,Tainan Airport,22.95039939880371,120.20600128173828,63,AS,TW,TW-TNN,Tainan City,medium_airport
TNO,MRTM,MRTM,Tamarindo Airport,10.313500404358,-85.815498352051,41,NA,CR,CR-G,Tamarindo,small_airport
TNP,KTNP,KTNP,Twentynine Palms Airport,34.13159943,-115.9459991,1888,NA,US,US-CA,Twentynine Palms,small_airport
TNQ,PLWN,PLWN,Washington Island Airstrip,4.698359,-160.394376,30,OC,KI,KI-L,Teraina,small_airport
TNR,FMMI,FMMI,Ivato Airport,-18.7969,47.478802,4198,AF,MG,MG-T,Antananarivo,large_airport
TNS,CBX5,CBX5,Tungsten (Cantung) Airport,61.956901550293,-128.20300292969,3500,NA,CA,CA-NT,Tungsten,small_airport
TNT,KTNT,KTNT,Dade Collier Training and Transition Airport,25.861799240112,-80.897003173828,13,NA,US,US-FL,Miami,small_airport
TNU,KTNU,KTNU,Newton Municipal Airport,41.67440032959,-93.021697998047,953,NA,US,US-IA,Newton,small_airport
TNV,PLFA,PLFA,Tabuaeran Island Airport,3.899440050125122,-159.38900756835938,,OC,KI,KI-L,Tabuaeran Island,small_airport
TNW,TNW,SEJD,Jumandy Airport,-1.059722,-77.583333,1234,SA,EC,EC-N,Tena,medium_airport
TNX,VDST,VDST,Stung Treng Airport,13.531900405883789,106.01499938964844,203,AS,KH,KH-19,Stung Treng,medium_airport
TNZ,ZMTL,ZMTL,Tosontsengel Airport,48.73887,98.2941,5610,AS,MN,MN-057,Tosontsengel,small_airport
TOA,KTOA,KTOA,Zamperini Field,33.803398132324,-118.33999633789,103,NA,US,US-CA,Torrance,small_airport
TOB,HLGN,HLGN,Gamal Abdel Nasser Airport,31.861,23.907,519,AF,LY,LY-BU,Tobruk,small_airport
TOC,KTOC,KTOC,Toccoa Airport - R.G. Letourneau Field,34.59379959,-83.29579926,996,NA,US,US-GA,Toccoa,small_airport
TOD,WMBT,WMBT,Pulau Tioman Airport,2.8181800842285156,104.16000366210938,15,AS,MY,MY-06,Pulau Tioman,medium_airport
TOE,DTTZ,DTTZ,Tozeur Nefta International Airport,33.939701080322266,8.110560417175293,287,AF,TN,TN-72,Tozeur,medium_airport
TOF,UNTT,UNTT,Bogashevo Airport,56.380298614502,85.208297729492,597,AS,RU,RU-TOM,Tomsk,medium_airport
TOG,PATG,PATG,Togiak Airport,59.052799224853516,-160.39700317382812,21,NA,US,US-AK,Togiak Village,medium_airport
TOH,NVSD,NVSD,Torres Airstrip,-13.3280000687,166.638000488,75,OC,VU,VU-TOB,Loh/Linua,small_airport
TOI,KTOI,KTOI,Troy Municipal Airport at N Kenneth Campbell Field,31.860399,-86.012101,398,NA,US,US-AL,Troy,medium_airport
TOJ,LETO,LETO,Torrejon Airport,40.496700286865234,-3.4458699226379395,2026,EU,ES,ES-M,Madrid,medium_airport
TOK,TOK,,Torokina Airport,-6.2015,155.063,130,OC,PG,PG-NSB,Torokina,small_airport
TOL,KTOL,KTOL,Toledo Express Airport,41.58679962,-83.80780029,683,NA,US,US-OH,Toledo,large_airport
TOM,GATB,GATB,Timbuktu Airport,16.730499267578125,-3.007580041885376,863,AF,ML,ML-7,Timbuktu,medium_airport
TON,AYVO,AYVO,Tonu Airport,-6.6552,155.4326,300,OC,PG,PG-NSB,Tonu,small_airport
TOO,MRSV,MRSV,San Vito De Java Airport,8.826109886169434,-82.95890045166016,3228,NA,CR,CR-P,Coto Brus,medium_airport
TOP,KTOP,KTOP,Philip Billard Municipal Airport,39.068698883057,-95.622497558594,881,NA,US,US-KS,Topeka,medium_airport
TOQ,SCBE,SCBE,Barriles Airport,-22.14109992980957,-70.06289672851562,3475,SA,CL,CL-AN,Tocopilla,medium_airport
TOR,KTOR,KTOR,Torrington Municipal Airport,42.0644989,-104.1529999,4207,NA,US,US-WY,Torrington,small_airport
TOS,ENTC,ENTC,TromsÃ¸ Airport,69.68329620361328,18.918899536132812,31,EU,NO,NO-19,TromsÃ¸,large_airport
